Key,File,Type,UsedInMainMenu,english,german,latam,french,italian,japanese,polish,brazilian,russian,turkish,schinese,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
goLoadVanillaMap,UI,Menu,x,Load vanilla map,Lade original Map,Cargar mapa de vainilla,Chargement de la carte vanille,Caricare la mappa vanilla,"バニラマップの読み込み","Załaduj mapę waniliową",Carregar mapa de baunilha,"Загрузить ванильную карту","Vanilya haritasını yükle","加载香草地图","加載香草地圖",Cargar mapa de vainilla,"Зареждане на картата на ванилия","Načtení mapy vanilla","Indlæs vanilla-kort","Φόρτωση χάρτη vanilla",Laadige vanilje kaart,Lataa vaniljakartta,"Vanília térkép betöltése",Memuat peta vanila,"Įkelti vanilės žemėlapį","Ielādēt vaniļas karti",Laad vanille kaart,"Încărcați harta vanilie","Načítanie mapy vanilky",Nalaganje zemljevida vanilije,Ladda in vanilla-kartan
goLoadVanillaMapDesc,UI,Menu,x,"WARNING: Load existing map without Power Overhaul Mod, as we normally persist a few additional options. When loading a vanilla map, we initialize those fields with default values. Only enable this option once or you may destroy your save files. Make a backup! You've been warned!","WARNUNG: Lädt existierende Map welche noch nie mit dem Elektrizitäts Overhaul Mod lief, da der Mod einige zusätzliche Felder in den Speicherstand schreibt. Wenn die Option an ist, werden diese Felder mit dem standard Wert initialisiert. Dieser Toggle darf für jede Map nur einmalig angeschaltet werden! Mach ein Backup, du wurdest gewarnt!","ADVERTENCIA: Cargue el mapa existente sin el Power Overhaul Mod, ya que normalmente persisten algunas opciones adicionales. Al cargar un mapa vainilla, inicializamos esos campos con valores por defecto. Sólo active esta opción una vez o puede destruir sus archivos guardados. ¡Haz una copia de seguridad! ¡Estás avisado!","AVERTISSEMENT : Chargez une carte existante sans le Power Overhaul Mod, car nous persistons normalement quelques options supplémentaires. Lors du chargement d'une carte vanille, nous initialisons ces champs avec des valeurs par défaut. N'activez cette option qu'une seule fois ou vous risquez de détruire vos fichiers de sauvegarde. Faites une sauvegarde ! Vous avez été prévenu !","AVVERTENZA: caricare una mappa esistente senza Power Overhaul Mod, poiché normalmente persistono alcune opzioni aggiuntive. Quando si carica una mappa vanilla, questi campi vengono inizializzati con valori predefiniti. Attivate questa opzione solo una volta o potreste distruggere i vostri file di salvataggio. Fate un backup! Siete stati avvertiti!","警告：Power Overhaul Mod を使用せずに既存のマップをロードすると、通常、いくつかの追加オプションが持続されます。バニラマップをロードする場合、これらのフィールドはデフォルト値で初期化されます。このオプションは一度だけ有効にしてください、さもないとセーブファイルを破壊する可能性があります。バックアップをとってください。警告が出ました!","UWAGA: Załaduj istniejącą mapę bez Power Overhaul Mod, ponieważ normalnie utrzymujemy kilka dodatkowych opcji. Podczas ładowania mapy waniliowej, inicjalizujemy te pola wartościami domyślnymi. Włącz tę opcję tylko raz, bo inaczej możesz zniszczyć swoje pliki zapisu. Zrób kopię zapasową! Zostałeś ostrzeżony!","AVISO: Carregar o mapa existente sem o Power Overhaul Mod, pois normalmente persistimos em algumas opções adicionais. Ao carregar um mapa de baunilha, inicializamos esses campos com valores padrão. Ative esta opção apenas uma vez ou você poderá destruir seus arquivos de salvamento. Faça um backup! Você foi avisado!","ВНИМАНИЕ: Загрузите существующую карту без Power Overhaul Mod, так как обычно мы сохраняем несколько дополнительных опций. При загрузке ванильной карты мы инициализируем эти поля значениями по умолчанию. Включите эту опцию только один раз, иначе вы можете уничтожить свои файлы сохранения. Сделайте резервную копию! Вы были предупреждены!","UYARI: Mevcut haritayı Power Overhaul Modu olmadan yükleyin, çünkü normalde birkaç ek seçeneği devam ettiririz. Bir vanilya harita yüklerken, bu alanları varsayılan değerlerle başlatırız. Bu seçeneği yalnızca bir kez etkinleştirin, aksi takdirde kayıt dosyalarınızı yok edebilirsiniz. Bir yedek alın! Uyarıldınız!","警告：加载没有Power Overhaul Mod的现有地图，因为我们通常会坚持一些额外的选项。当加载一个虚构的地图时，我们用默认值初始化这些字段。只能启用一次这个选项，否则你可能会破坏你的保存文件。做个备份吧!你已经被警告了!","警告：加載没有Power Overhaul Mod的現有地圖，因[為爲]我們通常會堅持一些額外的選項。當加載一個虚[构構]的地圖時，我們用默認值初始化這些字段。[只隹祇衹]能[啟啓]用一次這個選項，否則你可能會破[坏壞]你的保存文件。做個備份吧!你已經被警告[了瞭]!","ADVERTENCIA: Cargue el mapa existente sin el Power Overhaul Mod, ya que normalmente persisten algunas opciones adicionales. Al cargar un mapa vainilla, inicializamos esos campos con valores por defecto. Sólo active esta opción una vez o puede destruir sus archivos guardados. ¡Haz una copia de seguridad! ¡Estás avisado!","ПРЕДУПРЕЖДЕНИЕ: Заредете съществуваща карта без Power Overhaul Mod, тъй като обикновено поддържаме няколко допълнителни опции. Когато зареждате карта с ванилия, ние инициализираме тези полета със стойности по подразбиране. Включете тази опция само веднъж, в противен случай може да унищожите запаметените си файлове. Направете резервно копие! Бяхте предупредени!","UPOZORNĚNÍ: Nahrajte stávající mapu bez modifikace Power Overhaul Mod, protože obvykle trváme na několika dalších možnostech. Při načítání vanilkové mapy inicializujeme tato pole výchozími hodnotami. Tuto možnost povolte pouze jednou, jinak si můžete zničit uložené soubory. Vytvořte si zálohu! Byli jste varováni!","ADVARSEL: Indlæs eksisterende kort uden Power Overhaul Mod, da vi normalt vedbliver at have et par ekstra muligheder. Når du indlæser et vanilla map, initialiserer vi disse felter med standardværdier. Aktiver kun denne indstilling én gang, ellers kan du ødelægge dine save-filer. Lav en backup! Du er blevet advaret!","ΠΡΟΕΙΔΟΠΟΙΗΣΗ: Φορτώστε τον υπάρχοντα χάρτη χωρίς το Power Overhaul Mod, καθώς συνήθως επιμένουμε σε μερικές πρόσθετες επιλογές. Κατά τη φόρτωση ενός χάρτη vanilla, αρχικοποιούμε αυτά τα πεδία με προεπιλεγμένες τιμές. Ενεργοποιήστε αυτή την επιλογή μόνο μία φορά, διαφορετικά μπορεί να καταστρέψετε τα αποθηκευμένα αρχεία σας. Κάντε ένα αντίγραφο ασφαλείας! Έχετε προειδοποιηθεί!","HOIATUS: Laadige olemasolevat kaarti ilma Power Overhaul Modita, kuna tavaliselt püsime mõned lisavõimalused. Vanilla-kaardi laadimisel initsialiseerime need väljad vaikimisi väärtustega. Lubage see valik ainult üks kord või võite hävitada oma salvestusfailid. Tehke varukoopia! Teid on hoiatatud!","VAROITUS: Lataa olemassa oleva kartta ilman Power Overhaul Modia, koska normaalisti pidämme kiinni muutamista lisävaihtoehdoista. Kun lataat vaniljakartan, alustamme nämä kentät oletusarvoilla. Ota tämä vaihtoehto käyttöön vain kerran tai saatat tuhota tallennustiedostosi. Tee varmuuskopio! Sinua on varoitettu!","FIGYELMEZTETÉS: Töltsd be a meglévő térképet Power Overhaul Mod nélkül, mivel általában kitartunk néhány további lehetőség mellett. Vanilla térkép betöltésekor ezeket a mezőket alapértelmezett értékekkel inicializáljuk. Csak egyszer engedélyezd ezt az opciót, különben tönkreteheted a mentési fájljaidat. Készíts biztonsági mentést! Figyelmeztettünk!","PERINGATAN: Muat peta yang ada tanpa Mod Power Overhaul, karena kami biasanya tetap menggunakan beberapa opsi tambahan. Saat memuat peta vanilla, kami menginisialisasi bidang-bidang tersebut dengan nilai default. Hanya aktifkan opsi ini sekali atau Anda dapat menghancurkan file simpanan Anda. Buatlah cadangan! Anda telah diperingatkan!","ĮSPĖJIMAS: įkelkite esamą žemėlapį be Power Overhaul Mod, nes mes paprastai išlaikome keletą papildomų parinkčių. Įkėlus vanilinį žemėlapį, šiuos laukus inicializuojame numatytosiomis reikšmėmis. Įjunkite šią parinktį tik vieną kartą, antraip galite sunaikinti išsaugotus failus. Pasidarykite atsarginę kopiją! Buvote įspėti!","BRĪDINĀJUMS: ielādējiet esošo karti bez Power Overhaul Mod, jo mēs parasti saglabājam dažas papildu iespējas. Iekraujot vaniļas karti, mēs inicializējam šos laukus ar noklusējuma vērtībām. Ieslēdziet šo opciju tikai vienu reizi, pretējā gadījumā jūs varat iznīcināt savus saglabātos failus. Izveidojiet rezerves kopiju! Jūs esat brīdināti!","WAARSCHUWING: Laad een bestaande kaart zonder Power Overhaul Mod, omdat we normaal een paar extra opties aanhouden. Bij het laden van een vanilla map, initialiseren we deze velden met standaard waarden. Schakel deze optie slechts eenmaal in of je kan je save bestanden vernietigen. Maak een backup! Je bent gewaarschuwd!","AVERTISMENT: Încărcați harta existentă fără Power Overhaul Mod, deoarece în mod normal persistăm cu câteva opțiuni suplimentare. La încărcarea unei hărți vanilla, inițializăm aceste câmpuri cu valori implicite. Activați această opțiune doar o singură dată, altfel riscați să vă distrugeți fișierele de salvare. Faceți o copie de rezervă! Ați fost avertizat!","UPOZORNENIE: Načítajte existujúcu mapu bez Power Overhaul Mod, pretože zvyčajne trváme na niekoľkých ďalších možnostiach. Pri načítaní vanilla mapy inicializujeme tieto polia predvolenými hodnotami. Túto možnosť povoľte iba raz, inak si môžete zničiť uložené súbory. Vytvorte si zálohu! Boli ste varovaní!","OPOZORILO: naložite obstoječi zemljevid brez modula Power Overhaul Mod, saj običajno vztrajamo pri nekaj dodatnih možnostih. Pri nalaganju zemljevida vanilla ta polja inicializiramo s privzetimi vrednostmi. To možnost omogočite samo enkrat, sicer lahko uničite shranjene datoteke. Naredite varnostno kopijo! Bili ste opozorjeni!","VARNING: Ladda befintlig karta utan Power Overhaul Mod, eftersom vi normalt sett har några ytterligare alternativ. När du laddar en vaniljmapp initialiserar vi dessa fält med standardvärden. Aktivera endast det här alternativet en gång annars kan du förstöra dina sparfiler. Gör en säkerhetskopia! Du har blivit varnad!"
goPreferFuelOverBattery,UI,Menu,x,Prefer fuel,Bevorzuge Treibstoff,Prefiero el combustible,"Préférer le carburant",Preferenza per il carburante,"燃料を優先する","Preferować paliwo","Preferir combustível","Предпочтение топливу","Yakıt tercih edin","优先选择燃料","[优優]先選擇燃料",Prefiero el combustible,"Предпочитайте гориво","Preferované palivo","Foretrækker brændstof","Προτιμήστε τα καύσιμα","Eelistab kütust",Mieluummin polttoaine,"Inkább üzemanyag",Lebih suka bahan bakar,"Pirmenybė degalams","Priekšroka degvielai",Geef de voorkeur aan brandstof,"Preferați combustibilul","Preferované palivo",Prednostno gorivo,"Föredrar bränsle"
goPreferFuelOverBatteryDesc,UI,Menu,x,"If enabled, power will first be drawn from generators before battery banks. Otherwise closer one will be used first. When off the closest source will be used.","Wenn aktiviert, wird Strom zuerst von Treibstoff-Generatoren bezogen and erst dann von Batterien. Wenn aus wird die am nächsten liegende Stromquelle benutzt.","Si se activa, la energía se extraerá primero de los generadores antes que de los bancos de baterías. En caso contrario, se utilizará primero la más cercana. Si está desactivado, se utilizará la fuente más cercana.","Si cette option est activée, le courant sera d'abord tiré des générateurs avant les banques de batteries. Sinon, la source la plus proche sera utilisée en premier. Si elle est désactivée, la source la plus proche sera utilisée.","Se abilitato, l'energia verrà prelevata prima dai generatori e poi dalle batterie. In caso contrario, verrà utilizzata prima quella più vicina. Se è disattivato, verrà utilizzata la fonte più vicina.","有効にすると、バッテリバンクよりも発電機から先に電力が引き出されます。そうでない場合は、より近いものが最初に使用されます。オフの場合は、最も近い電源が使用されます。","Jeśli włączone, energia będzie najpierw pobierana z generatorów przed bateriami akumulatorów. W przeciwnym razie bliższe źródło zostanie użyte jako pierwsze. Gdy wyłączone, użyte zostanie najbliższe źródło.","Se ativado, a energia será primeiramente retirada dos geradores antes dos bancos de baterias. Caso contrário, um mais próximo será utilizado primeiro. Quando desligado, será utilizada a fonte mais próxima.","Если эта функция включена, то сначала будет производиться забор энергии от генераторов, а затем от батарей. В противном случае сначала будет использоваться ближайший источник. В выключенном состоянии будет использоваться ближайший источник.","Etkinleştirilirse, güç akü bankalarından önce jeneratörlerden çekilecektir. Aksi takdirde önce daha yakın olan kullanılır. Kapalı olduğunda en yakın kaynak kullanılacaktır.","如果启用，电力将首先从发电机中提取，然后才是电池组。否则将首先使用较近的一个。当关闭时，将使用最近的电源。","如果[啟啓]用，電力將首先從[發髮]電[机機]中提取，然[后後][才纔]是電池組。否則將首先使用較近的一個。當關閉時，將使用最近的來源。","Si se activa, la energía se extraerá primero de los generadores antes que de los bancos de baterías. En caso contrario, se utilizará primero la más cercana. Si está desactivado, se utilizará la fuente más cercana.","Ако е разрешено, първо ще се черпи енергия от генераторите, а след това от акумулаторните батерии. В противен случай първо ще се използва по-близката. Когато е изключено, ще се използва най-близкият източник.","Pokud je tato funkce povolena, bude energie nejprve odebírána z generátorů a teprve poté z baterií. V opačném případě se nejprve použije bližší z nich. Je-li vypnuto, použije se nejbližší zdroj.","Hvis den er aktiveret, vil strøm først blive hentet fra generatorer før batteribanker. Ellers vil den nærmeste blive brugt først. Når den er slået fra, vil den nærmeste kilde blive brugt.","Εάν είναι ενεργοποιημένη, η ισχύς θα αντλείται πρώτα από τις γεννήτριες και μετά από τις συστοιχίες μπαταριών. Διαφορετικά, θα χρησιμοποιείται πρώτα η πιο κοντινή. Όταν είναι απενεργοποιημένη, θα χρησιμοποιείται η πλησιέστερη πηγή.","Kui see on lubatud, võetakse voolu kõigepealt generaatoritest enne akupankade kasutamist. Vastasel juhul kasutatakse kõigepealt lähemat. Kui see on välja lülitatud, kasutatakse lähimat allikat.","Jos tämä on käytössä, virta otetaan ensin generaattoreista ennen akkupankkeja. Muussa tapauksessa käytetään ensin lähempää. Kun toiminto on pois päältä, käytetään lähintä lähdettä.","Ha engedélyezve van, az áramot először a generátorokból veszik le, mielőtt az akkumulátorokba kerülne. Ellenkező esetben a közelebbi lesz először használva. Kikapcsolt állapotban a legközelebbi forrás lesz használva.","Jika diaktifkan, daya pertama-tama akan diambil dari generator sebelum bank baterai. Jika tidak, yang lebih dekat akan digunakan terlebih dahulu. Ketika mati, sumber terdekat akan digunakan.","Jei įjungta, pirmiausia energija bus imama iš generatorių, o tik po to iš akumuliatorių baterijų. Priešingu atveju pirmiausia bus naudojamas artimesnis iš jų. Jei išjungta, bus naudojamas artimiausias šaltinis.","Ja tas ir ieslēgts, vispirms tiks ņemta enerģija no ģeneratoriem un tikai pēc tam no akumulatoriem. Pretējā gadījumā vispirms tiks izmantots tuvākais no tiem. Ja izslēgts, tiks izmantots tuvākais avots.","Indien ingeschakeld, zal de stroom eerst van de generatoren en dan pas van de accubanken worden afgenomen. Anders zal eerst de dichtstbijzijnde worden gebruikt. Indien uitgeschakeld zal de dichtstbijzijnde bron worden gebruikt.","Dacă este activată, energia va fi preluată mai întâi de la generatoare înainte de băncile de baterii. În caz contrar, se va utiliza mai întâi cea mai apropiată. Dacă este dezactivată, va fi utilizată cea mai apropiată sursă.","Ak je táto funkcia zapnutá, energia sa bude najprv čerpať z generátorov a až potom z batérií. V opačnom prípade sa najprv použije bližšia z nich. Ak je vypnuté, použije sa najbližší zdroj.","Če je ta možnost omogočena, se najprej črpa energija iz generatorjev in šele nato iz baterij. V nasprotnem primeru bo najprej uporabljena bližja baterija. Če je izklopljeno, se uporabi najbližji vir.","Om den är aktiverad kommer strömmen först att tas från generatorerna och sedan från batteribankerna. I annat fall används den närmaste av dem först. När den är avstängd används den närmaste källan."
goBatteryPowerPerUse,UI,Menu,x,Battery Watts per Use,Batterie-Strom pro Nutzung,"Vatios de batería por uso",Watts de batterie par utilisation,Watt della batteria per utilizzo,"バッテリーワット/使用量","Moc baterii na jedno użycie",Bateria Watts por uso,"Ватты батареи на одно использование","Kullanım Başına Pil Watt","每次使用的电池瓦特数","每次使用的電池瓦特數","Vatios de batería por uso","Ватове на батерията за употреба","Watty baterie na jedno použití",Batteri Watt pr. brug,"Βατ μπαταρίας ανά χρήση",Aku vattide arv kasutamise kohta,"Akun watit käyttöä kohti","Akkumulátor watt per használat",Watt Baterai per Penggunaan,"Akumuliatoriaus vatai per naudojimą","Akumulatora vati uz vienu izmantošanu",Batterij Watt per Gebruik,Bateria Watt per utilizare,"Watty batérie na jedno použitie",Watt baterije na uporabo,"Batteri Watt per användning"
goBatteryPowerPerUseDesc,UI,Menu,x,Conversion factor for battery uses into watts,"Konvertierungs-Faktor für Batterie-Benutzung zu Strom.","Factor de conversión de los usos de la batería en vatios",Facteur de conversion des utilisations de la batterie en watts,Fattore di conversione dei consumi della batteria in watt,"電池の使用量をワットに換算する係数","Przelicznik zużycia baterii na waty","Fator de conversão para uso de baterias em watts","Коэффициент пересчета использования батареи в ватты","Batarya kullanımlarını watt'a dönüştürme faktörü","电池使用量转化为瓦特的转换系数","電池使用量轉化[為爲]瓦特的轉換[系係繫]數","Factor de conversión de los usos de la batería en vatios","Коефициент на преобразуване на използването на батерията във ватове","Přepočítávací koeficient pro přepočet spotřeby baterie na watty",Omregningsfaktor for batteriforbrug til watt,"Συντελεστής μετατροπής για τις χρήσεις της μπαταρίας σε Watt","Aku kasutamise ümberarvestustegur vattideks","Akun käytön muuntokerroin watteihin","Átváltási tényező az akkumulátor wattra történő felhasználásához",Faktor konversi untuk penggunaan baterai menjadi watt,"Akumuliatoriaus naudojimo į vatus perskaičiavimo koeficientas","Pārrēķina koeficients akumulatora izmantošanai vatos",Omrekeningsfactor voor batterijverbruik in watt,"Factorul de conversie pentru utilizarea bateriei în wați","Konverzný faktor pre prepočet spotreby batérie na watty",Pretvorbeni faktor za pretvorbo uporabe baterije v vate,"Omräkningsfaktor för batteriförbrukning i watt"
goMinPowerForCharging,UI,Menu,x,Min power for charge,Minimal-Bedarf zum Laden,"Potencia mínima de carga",Puissance minimale pour la charge,Potenza minima per la carica,"充電時の最小電力","Min. moc do ładowania","Potência mínima para carga","Минимальная мощность для заряда","Şarj için minimum güç","充电的最小功率","充電的最小功率","Potencia mínima de carga","Минимална мощност за зареждане","Minimální výkon pro nabíjení",Min. effekt til opladning,"Ελάχιστη ισχύς για φόρτιση","Min võimsus laadimiseks","Vähimmäisteho latausta varten","Minimális teljesítmény a töltéshez",Daya minimum untuk pengisian daya,"Minimali įkrovimo galia","Minimālā uzlādes jauda",Min. vermogen voor opladen,"Putere minimă pentru încărcare","Min. výkon pre nabíjanie","Min. moč za polnjenje","Minsta effekt för laddning"
goMinPowerForChargingDesc,UI,Menu,x,Only charge batteries if excess energy is higher than minmal requirement.,"Lädt Batterien nur wenn der verfügbare Strom den minimalen Bedarf übersteigt.","Sólo cargue las baterías si el exceso de energía es superior a las necesidades mínimas.","Ne chargez les batteries que si l'énergie excédentaire est supérieure aux besoins minimaux.","Caricare le batterie solo se l'energia in eccesso è superiore al fabbisogno minimo.","余剰電力が最低限必要な電力量より多い場合のみ充電してください。","Ładuj akumulatory tylko wtedy, gdy nadmiar energii jest wyższy niż minimalne zapotrzebowanie.","Somente carregue as baterias se o excesso de energia for maior do que a necessidade mínima.","Заряжайте батареи только в том случае, если избыточная энергия превышает минимальную потребность.","Aküleri yalnızca fazla enerji minimum gereksinimden yüksekse şarj edin.","只有在多余的能量高于最低要求时才给电池充电。","[只隹祇衹]有在多[余餘]的能量高于最低要求時[才纔]給電池充電。","Sólo cargue las baterías si el exceso de energía es superior a las necesidades mínimas.","Зареждайте батериите само ако излишната енергия е по-голяма от минималната.","Baterie nabíjejte pouze tehdy, pokud je přebytek energie vyšší než minimální potřeba.","Oplad kun batterierne, hvis den overskydende energi er større end det minimale behov.","Φορτίστε τις μπαταρίες μόνο εάν η περίσσεια ενέργειας είναι μεγαλύτερη από την ελάχιστη απαίτηση.","Laadige akusid ainult siis, kui liigne energia on suurem kui miinimumnõue.","Lataa akkuja vain, jos ylimääräinen energia on suurempi kuin vähimmäistarve.","Csak akkor töltse az akkumulátorokat, ha a felesleges energia nagyobb, mint a minimális szükséglet.",Hanya mengisi baterai jika kelebihan energi lebih tinggi dari kebutuhan minimum.,"Akumuliatorius įkraukite tik tuo atveju, jei energijos perteklius yra didesnis už minimalų poreikį.","Uzlādējiet akumulatorus tikai tad, ja enerģijas pārpalikums ir lielāks par minimālo vajadzību.","Laad accu's alleen op als de overtollige energie hoger is dan de minimale behoefte.","Încărcați bateriile numai dacă excesul de energie este mai mare decât necesarul minim.","Batérie nabíjajte len vtedy, ak je prebytok energie vyšší ako minimálna potreba.","Akumulatorje polnite le, če je presežek energije večji od minimalne potrebe.","Ladda batterierna endast om överskottsenergin är högre än minimikravet."
goFuelPowerPerUse,UI,Menu,x,Fuel Watts per Use,Treibstoff-Strom pro Nutzung,Vatios de combustible por uso,Watts de carburant par utilisation,Watt di carburante per utilizzo,"燃料ワット/使用量","Waty paliwa na użycie","Watts de combustível por uso","Ватт топлива на одно использование","Kullanım Başına Yakıt Watt","每次使用的燃料瓦特数","每次使用的燃料瓦特數",Vatios de combustible por uso,"Горивни ватове за употреба","Palivové watty na jedno použití","Brændstof Watt pr. forbrug","Βατ καυσίμου ανά χρήση","Kütuse vattide arv kasutamise kohta","Polttoaineen watit käyttöä kohti","Üzemanyag watt per használat",Watt Bahan Bakar per Penggunaan,Kuro vatai vienam panaudojimui,"Degvielas vati uz vienu izmantošanu",Brandstof Watts per Gebruik,Watt de combustibil per utilizare,"Palivové watty na použitie",Vatov goriva na uporabo,"Bränsle Watt per användning"
goFuelPowerPerUseDesc,UI,Menu,x,Conversion factor for fuel uses into watts,"Konvertierungs-Faktor für Treibstoff-Benutzung zu Strom.","Factor de conversión de los usos del combustible en vatios",Facteur de conversion des consommations de carburant en watts,Fattore di conversione dei consumi di carburante in watt,"燃料の使用量をワットに換算する係数","Współczynnik przeliczeniowy dla zużycia paliwa na waty","Fator de conversão para uso de combustível em watts","Коэффициент пересчета расхода топлива в ватты","Yakıt kullanımlarını watt'a dönüştürme faktörü","燃料使用量转化为瓦特的转换系数","燃料使用量轉化[為爲]瓦特的轉換[系係繫]數","Factor de conversión de los usos del combustible en vatios","Коефициент на преобразуване на използваното гориво във ватове","Přepočítávací koeficient pro přepočet spotřeby paliva na watty","Omregningsfaktor for brændstofforbrug til watt","Συντελεστής μετατροπής των χρήσεων καυσίμου σε Watt","Kütuse kasutamise ümberarvestustegur vattidesse","Polttoaineen käytön muuntokerroin wateiksi","A tüzelőanyag-felhasználás wattra történő átváltási tényezője",Faktor konversi penggunaan bahan bakar menjadi watt,"Kuro sąnaudų perskaičiavimo į vatus koeficientas","Pārrēķina koeficients degvielas patēriņa pārrēķināšanai vatos",Omrekeningsfactor voor brandstofverbruik in watt,"Factorul de conversie pentru utilizarea combustibilului în wați","Konverzný faktor prepočtu spotreby paliva na watty",Faktor pretvorbe porabe goriva v vate,"Omräkningsfaktor för bränsleförbrukning i watt"
